value,total
Girl,47
Tivoli,47
Long,47
Canal,47
Pier,47
Balmoral,47
Holy,47
no.,46
James's,46
Blue,46
down,46
Drawing,46
Upper,46
Monument,46
outside,45
Earl,45
July,45
One,45
des,45
Clapham,45
Rhine,44
Ancient,44
Charles,44
School,44
Naples,44
March,44
taken,44
Below,43
Cattle,43
Waterfall,43
Rocky,43
Buckingham,43
Santa,42
called,42
Morning,42
Shore,42
"Place,",42
Forest,42
Newport,41
May,41
Vienna,41
indica,41
Rocks,41
Mimosa,41
Edinburgh,41
Wales',41
Salisbury,41
Paul's,40
Wife,40
Sketches,40
elevations,40
Derbyshire,40
Camp,40
Carving,40
Cobham,40
Plymouth,39
"Oswin,",39
Duchess,39
English,39
du,39
Newcastle,39
first,39
Italian,39
Pass,39
Engine,39
Vauxhall,38
"Harbour,",38
Steam,38
Kent:,38
sailing,38
Stream,38
Castle:,38
Ullswater,38
Figure,38
Conway,38
Princess,38
Upon,38
Family,38
Tyne,38
Wooded,38
Ferry,38
Warkworth,38
Foreground,38
Jones,37
Mountainous,37
France,37
Chain,37
Dover,37
Coburg,37
Cairo,37
Eugenia,37
Staircase,37
Dog,37
November,37
Willis,36
Snowdon,36
Albert,36
Arrival,36
Del,36
John's,36
Through,36
into,36
"College,",36
George's,36
"[sic],",36
ship,36
aan,35
Coleorton,35
Ficus,35
Encampment,35
Pont,35
Sheep,35
Wild,35
Hills,35
Kön.,35
opposite,35
Day,35
Windmill,34
Seated,34
Cottages,34
Coastal,34
Background,34
Home,34
Levant:,34
Robert,34
Convent,34
Pool,34
Somerset,34
Zealand,34
studies,34
Mt.,34
Richmond,34
Switzerland,34
Essex,34
Coburg:,33
2,33
"Garden,",33
Procession,33
General,33
Nottingham,33
Nicholas,33
Little,33
Chinese,33
med,33
Hibiscus,33
Bath,33
Islands,33
Glen,33
Wall,33
her,33
Before,33
Welsh,33
Waterloo,33
Large,33
British,33
Norfolk,32
Rosenau:,32
Hedysarum,32
"Gardens,",32
Winter,32
Antiquities,32
Richard,32
Door,32
Hampton,32
Isola,32
Dee,32
cart,32
Norwich,32
Moonlight,32
Louis-Philippe:,32
Bird,31
"Court,",31
Convolvulus,31
"Inn,",31
Yellow,31
Mosque,31
Kennington,31
Egypt,31
Children,31
Veste,30
Flower,30
Crotalaria,30
Behind,30
Review,30
Shotley,30
Small,30
"Terrace,",30
"Lane,",30
"River,",30
Calcutta,30
King's,29
during,29
Mont,29
Top,29
Horses,29
Beyond,29
Walls,29
Fountain,29
Maria,29
Chatsworth,29
Gibraltar,29
February,29
Vale,28
Group,28
Tenerife,28
Landing,28
Cornwall,28
Gallery,28
Nature,28
"Mill,",28
"Cottage,",28
1855,28
native,28
Justicia,28
Lago,28
vanaf,28
Osborne,28
