Unique_Identifier,Collection_Name,ISO_Code,Painting_Title,Painting_Description,Date_Painted_Start,Date_Painted_End,Artist_Name_INPUT,Artist_Dates_INPUT,Category,Tags,Painting_Title_Capitals
TWW0000009252,Penlee House Gallery & Museum,ENG,Departure of the Fleet for the North,"This painting is the first in a series of three works, depicting the perils of fishing life. In this work, the fleet is watched by villagers as it heads off to the fishing grounds. The second painting is entitled 'Disaster' and is owned by Birmingham City Museum and Art Gallery. The third, also owned by Penlee House Gallery and Museum, is entitled 'Among the Missing' and shows the devastated villagers as they learn of the loss of their loved ones.",1886,1886,Walter Langley,1852-1922,People & Society,"people,social life,domestic life,fishing,ports",Departure Fleet North
TWW0000009253,Penlee House Gallery & Museum,ENG,Among the Missing,"This painting is the third in a series of three works showing the perils of fishing life (see 'Departure of the Fleet'). On the wall of the Post Office is a list of all the men who have been lost at sea. This scene is still one that is all too frequent amidst fishing communities today. Incidentally, the paintings were completed in reverse, with 'Among the Missing' being produced two years before 'Departure of the Fleet'.",1884,1884,Walter Langley,1852-1922,People & Society,"people,social life,domestic life,fishing,ports,villages,disasters,death",Among Missing
TWW0000009254,Penlee House Gallery & Museum,ENG,Cottage Steps Newlyn,Steps with blue railing and part of blue door frame.,1852,1922,Walter Langley,1852-1922,Buildings & Architecture,"residential buildings,cottages",Cottage Steps Newlyn
TWW0000000085,Abbot Hall Art Gallery,ENG,Hartsop,,1798,1863,James Duffield Harding,1798-1863,Landscapes & Seascapes,"hills,mountains,valleys,rivers,bridges",Hartsop
TWW0000000086,Abbot Hall Art Gallery,ENG,The Vale of St. John towards Skiddaw,,1880,1891,John Anderson of Dudley,fl.1880-1891,Landscapes & Seascapes,"hills,valleys,lakes,trees,streams",The Vale St. John Skiddaw
TWW0000000087,Abbot Hall Art Gallery,ENG,Entry into Borrowdale,,1880,1891,John Anderson of Dudley,fl.1880-1891,Landscapes & Seascapes,"valleys,hills,mountains",Entry Borrowdale
TWW0000000088,Abbot Hall Art Gallery,ENG,Loweswater From the West,,1785,1859,John Baverstock Knight,1785-1859,Landscapes & Seascapes,"hills,mountains,valleys,lakes",Loweswater From West
TWW0000000089,Abbot Hall Art Gallery,ENG,"Bowderstone, Cumberland",,1785,1859,John Baverstock Knight,1788-1859,Landscapes & Seascapes,"valleys,mountains,natural phenomena","Bowderstone, Cumberland"
TWW0000000090,Abbot Hall Art Gallery,ENG,Derwentwater Above Keswick,,1785,1859,John Baverstock Knight,1788-1859,Landscapes & Seascapes,"hills,valleys,lakes",Derwentwater Above Keswick
TWW0000000091,Abbot Hall Art Gallery,ENG,Derwentwater From Castle Crag,,1800,1800,John Emes,1786-1816,Landscapes & Seascapes,"mountains,hills,lakes",Derwentwater From Castle Crag
TWW0000000092,Abbot Hall Art Gallery,ENG,Elterwater,,1800,1800,John Emes,1786-1816,Landscapes & Seascapes,"mountains,hills,lakes",Elterwater
TWW0000000093,Abbot Hall Art Gallery,ENG,Langdale Pikes From Lowwood,,1900,1900,John Finnie,1829-1907,Landscapes & Seascapes,"mountains,hills,lakes,sheep",Langdale Pikes From Lowwood
TWW0000000094,Abbot Hall Art Gallery,ENG,"Horseman with Cattle, Ullswater",,1767,1849,John Glover,1767-1849,Landscapes & Seascapes,"mountains,valleys,streams","Horseman Cattle, Ullswater"
TWW0000000095,Abbot Hall Art Gallery,ENG,Kirby Lonsdale,,1767,1849,John Glover,1767-1849,Buildings & Architecture,"religious buildings,hills",Kirby Lonsdale
TWW0000000096,Abbot Hall Art Gallery,ENG,Bridge House,,1822,1822,John Harden,1772-1847,Buildings & Architecture,"religious buildings,ruins,residential buildings,hills",Bridge House
TWW0000000097,Abbot Hall Art Gallery,ENG,Borrowdale,,1810,1810,John Harden,1772-1847,Landscapes & Seascapes,"hills,mountains,valleys,lakes,rivers",Borrowdale
TWW0000000098,Abbot Hall Art Gallery,ENG,Grasmere Lake,,1772,1847,John Harden,1772-1847,Landscapes & Seascapes,"lakes,trees,hills",Grasmere Lake
TWW0000006539,Manchester Art Gallery,ENG,"Sunset on the Chain of Alps Seen from Mount Pilatus Near Lucerne, Switzerland",,1890,1890,Harry Goodwin,c.1841-1925,Landscapes & Seascapes,"mountains,landscapes,people,portraits","Sunset Chain Alps Seen Mount Pilatus Near Lucerne, Switzerland"
TWW0000006540,Manchester Art Gallery,ENG,"The Shadow of the Rock of Tiberius, Capri",,1895,1895,Harry Goodwin,c.1841-1925,Landscapes & Seascapes,"mountains,beaches,people,roads","The Shadow Rock Tiberius, Capri"
TWW0000006541,Manchester Art Gallery,ENG,"View of Mt. Eiger from the Mountain Side at Muerren, Switzerland",,1888,1888,Harry Goodwin,c.1841-1925,Landscapes & Seascapes,"mountains,snow,people","View Mt. Eiger Mountain Side Muerren, Switzerland"
TWW0000006542,Manchester Art Gallery,ENG,The Village of Gawsworth,,1891,1891,Harry Goodwin,c.1841-1925,Buildings & Architecture,"villages,boats,fishing,people",The Village Gawsworth
TWW0000006543,Manchester Art Gallery,ENG,Coast scene,,1860,1860,Harry Johnson,1824-1898,Landscapes & Seascapes,"coasts,roads,boats",Coast
TWW0000006544,Manchester Art Gallery,ENG,"Moorland, Near Loch Achray",,1900,1900,Harry Sutton Palmer,1854-1933,Landscapes & Seascapes,"lakes,trees,mountains,portraits","Moorland, Near Loch Achray"
TWW0000006545,Manchester Art Gallery,ENG,"Street in Lehon, Brittany",,1893,1893,Haynes King,1831-1904,Buildings & Architecture,"roads,religious buildings,residential buildings","Street Lehon, Brittany"
TWW0000006546,Manchester Art Gallery,ENG,A Cottage at Freshwater Gate,,1891,1891,Helen Allingham,1848-1926,Buildings & Architecture,"agriculture,farms,people,trees,mammals",A Cottage Freshwater Gate
TWW0000006547,Manchester Art Gallery,ENG,A Cottage at Freshwater Gate,,1891,1891,Helen Paterson Allingham,1848-1926,Buildings & Architecture,"cottages,trees,people",A Cottage Freshwater Gate
TWW0000006548,Manchester Art Gallery,ENG,On the Scheldt,,1882,1882,Hendrick Cassiers,1858-1944,Travel & Transport,"rivers,naval,portraits",On Scheldt
TWW0000006549,Manchester Art Gallery,ENG,The Castle of Clisson,,1878,1878,Henri-Joseph Harpignies,1819-1916,Buildings & Architecture,"castles,rivers,trees",The Castle Clisson
TWW0000006550,Manchester Art Gallery,ENG,"Church Interior, Northern France",,1906,1906,Henry Boddington,1849-1925,Buildings & Architecture,"religious buildings,people","Church Interior, Northern France"
TWW0000006551,Manchester Art Gallery,ENG,A Young Naval Officer,,1798,1798,Henry Bone,1755-1834,People & Society,"naval,portraits",A Young Naval Officer
TWW0000006552,Manchester Art Gallery,ENG,A Buttress of Snowdon,,1848,1912,Henry Clarence Whaite,1828-1912,Landscapes & Seascapes,"snow,agriculture,landscapes,fields,mountains,hills,cottages",A Buttress Snowdon
TWW0000005853,Institution of Mechanical Engineers,ENG,"Longitudinal section of the Boulton and Watt Engine erected at the East London Water Works, Old Ford",,1842,1842,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing","Longitudinal Boulton Watt Engine East London Water Works, Old Ford"
TWW0000005854,Institution of Mechanical Engineers,ENG,"Plan of the Cornish Engine and Boilers erected at the East London Water Works, Old Ford",,1842,1842,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing","Plan Cornish Engine Boilers East London Water Works, Old Ford"
TWW0000005855,Institution of Mechanical Engineers,ENG,"Plan of the Cornish Engine and Boilers erected at the East London Water Works, Old Ford",,1842,1842,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing","Plan Cornish Engine Boilers East London Water Works, Old Ford"
TWW0000005856,Institution of Mechanical Engineers,ENG,Sections of the Boulton and Watt Waggon-Head Boilers erected at the East London Water Works,,1842,1842,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing",Sections Boulton Watt Waggon-Head Boilers East London Water Works
TWW0000005857,Institution of Mechanical Engineers,ENG,Old Style Ladle for pouring Molten Metal,,1862,1862,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing",Old Style Ladle Molten Metal
TWW0000005858,Institution of Mechanical Engineers,ENG,James Nasmyth's Safety Ladle,,1862,1862,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing",James Nasmyth's Safety Ladle
TWW0000005859,Institution of Mechanical Engineers,ENG,"Large Paring Machine 2ft 6in stroke, front, back and side elevations",,1849,1849,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing",Large Paring Machine 2ft 6in
TWW0000005860,Institution of Mechanical Engineers,ENG,"Bar Cutting Machine, plan, front and side elevations and detail",,1848,1848,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing","Bar Cutting Machine,"
TWW0000005861,Institution of Mechanical Engineers,ENG,"Improved Radial Drilling Machine, plans, front, back and side elevations",,1848,1848,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing","Improved Radial Drilling Machine,"
TWW0000005862,Institution of Mechanical Engineers,ENG,"Rivet Making Machine, plan, front and side elevations and section",,1848,1848,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing","Rivet Making Machine,"
TWW0000005863,Institution of Mechanical Engineers,ENG,"Punching and Shearing Machine, front and side elevation with detail",,1850,1850,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing","Punching Shearing Machine,"
TWW0000005864,Institution of Mechanical Engineers,ENG,"Improved Fly-Planing Machine as employed at the Royal Carriage Department, front and side elevations",,1850,1850,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing","Improved Fly-Planing Machine Royal Carriage Department,"
TWW0000005865,Institution of Mechanical Engineers,ENG,"Steam Pile Driving Machinery, plan, elevation and sections",,1850,1850,James Nasmyth,1808-1890,Industries & Professions,"construction,industries,technology,manufacturing","Steam Pile Driving Machinery,"
TWW0000005866,Institution of Mechanical Engineers,ENG,"Registered Engine, front and side elevations",,1857,1857,James Nasmyth,1808-1890,Industries & Professions,"industries,technology,manufacturing","Registered Engine,"
TWW0000009087,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Safe Maker,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,crafts,tools",A Safe Maker
TWW0000009088,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Locksmith,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,crafts,tools",A Locksmith
TWW0000009089,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Silversmith,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,crafts,tools",A Silversmith
TWW0000009090,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Bucket Repairman,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,crafts,tools",A Bucket Repairman
TWW0000009091,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,Darning Clothes,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,crafts,tools",Darning Clothes
TWW0000009092,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Juggler,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,leisure,performances",A Juggler
TWW0000009093,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Stone Mason Making A Millstone,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,crafts,tools",A Stone Mason Making A Millstone
TWW0000009094,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Flower Peddler,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,crafts,tools",A Flower Peddler
TWW0000009095,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Monodrama Performer,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,leisure,performances",A Monodrama Performer
TWW0000009096,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Chicken and Duck Peddler,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,ducks,chickens,agriculture",A Chicken Duck Peddler
TWW0000009097,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Monkey Trainer,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,leisure,performances",A Monkey Trainer
TWW0000009098,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Lacquerware Painter,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,crafts,tools",A Lacquerware Painter
TWW0000009099,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Blacksmith,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,crafts,tools",A Blacksmith
TWW0000009100,Peabody Essex Museum : Customs and Conditions of Chinese City Streets in the 19th Century,ENG,A Weaver,From the Album: 'Customs and Conditions of Chinese City Streets in the 19th Century'.,1790,1790,Pu Qua,,Industries & Professions,"people,professions,trade,crafts,tools",A Weaver
TWW0000003277,Duke of Northumberland,ENG,"Perspective View of Blagdon House in Northumberland, the Seat of Sir Mathew Ridley",This watercolour is one of 88 pasted together into a bound volume - Volume Record Number 03397.,1773,1773,J. Thirlwall,,Buildings & Architecture,"castles,stately homes,goats","Perspective View Blagdon House Northumberland, Seat Sir Mathew Ridley"
TWW0000003278,Duke of Northumberland,ENG,Overtschie [sic],This watercolour is one of 98 pasted together into a bound volume - Volume Record Number 03399.,1773,1773,J. Thirlwall,,Landscapes & Seascapes,"rivers,religious buildings,cottages,boats,transport",Overtschie [sic]
TWW0000003279,Duke of Northumberland,ENG,"Esher in Surrey, the Seat of Miss Pelham",This watercolour is one of 104 pasted together into a bound volume - Volume Record Number 03398.,1772,1777,J. Thirlwall,,Buildings & Architecture,"stately homes,rivers,bridges,boats,travel","Esher Surrey, Seat Miss Pelham"
TWW0000003280,Duke of Northumberland,ENG,"Hermitage, Richmond Gardens, Surrey, Called Queen Caroline's Hermitage",This watercolour is one of 104 pasted together into a bound volume - Volume Record Number 03398.,1774,1774,J. Thirlwall,,Buildings & Architecture,"stately homes,gardens,religious buildings","Hermitage, Richmond Gardens, Surrey, Called Queen Caroline's Hermitage"
TWW0000003281,Duke of Northumberland,ENG,The Ruins of Koningsveldt Abbey,This watercolour is one of 98 pasted together into a bound volume - Volume Record Number 03399.,1773,1773,J. Thirlwall,,Buildings & Architecture,"religious buildings,ruins",The Ruins Koningsveldt Abbey
TWW0000003282,Duke of Northumberland,ENG,Stannington House,This watercolour is one of 104 pasted together into a bound volume - Volume Record Number 03395.,1772,1777,J. Thirlwell,,Buildings & Architecture,"stately homes,people,trees,rivers,bridges",Stannington House
TWW0000003283,Duke of Northumberland,ENG,The Brother Tree in Whinfield [sic] Park near Penrith,"A view of the Brother Tree in Whinfield Park near Penrith, 60 feet in Circumference, mentioned in Gibson's Cambden's Brit. 1756. This watercolour is one of 80 pasted together into a bound volume - Volume Record Number 03396.",1773,1773,J. Thompson,,Landscapes & Seascapes,"deer,trees,parks",The Brother Tree Whinfield [sic] Park Penrith
TWW0000003284,Duke of Northumberland,ENG,Dilston Hall,This watercolour is one of 80 pasted together into a bound volume - Volume Record Number 03396.,1773,1773,J. Thompson,,Buildings & Architecture,"stately homes,trees,parks",Dilston Hall
TWW0000003285,Duke of Northumberland,ENG,An Old Monument in Alnmouth Church,This watercolour is one of 104 pasted together into a bound volume - Volume Record Number 03395.,1773,1773,J. Vilet,,Buildings & Architecture,"monuments,religious buildings,interiors",An Old Monument Alnmouth Church
TWW0000003286,Duke of Northumberland,ENG,The Green-House at the Earl of Exeter's at Burleigh,This watercolour is one of 104 pasted together into a bound volume - Volume Record Number 03395.,1772,1777,J. Vilet,,Buildings & Architecture,"stately homes,gardens",The Green-House Earl Exeter's Burleigh
TWW0000003287,Duke of Northumberland,ENG,New Rooms at Bath,This watercolour is one of 104 pasted together into a bound volume - Volume Record Number 03395.,1772,1777,J. Vilet,,Buildings & Architecture,stately homes,New Rooms Bath
TWW0000003288,Duke of Northumberland,ENG,"Temple at Wentworth Castle, from Under the Arch of the Bridge",This watercolour is one of 104 pasted together into a bound volume - Volume Record Number 03395.,1772,1777,J. Vilet,,Buildings & Architecture,"religious buildings,monuments,rivers,bridges,trees","Temple Wentworth Castle, Under Arch Bridge"
TWW0000003289,Duke of Northumberland,ENG,Wentworth Castle,This watercolour is one of 104 pasted together into a bound volume - Volume Record Number 03395.,1771,1771,J. Vilet,,Buildings & Architecture,"castles,forts,trees",Wentworth Castle
TWW0000003290,Duke of Northumberland,ENG,"Launceston Castle in Cornwall, in Ruins",This watercolour is one of 104 pasted together into a bound volume - Volume Record Number 03395.,1775,1775,J. Vilet,,Buildings & Architecture,"castles,ruins,roads,residential buildings,hills","Launceston Castle Cornwall, Ruins"
TWW0000005643,Guy Peppiatt Fine Art,ENG,The Islands at Bolney on the Thames from Park Place,"Watercolour and bodycolour heightened with scratching out. This is a view looking south from Park Place towards the small islands in the middle of the Thames at Bolney. Park Place, across the river from Henley-on-Thames is a large estate with a house originally dating from the early eighteenth century. Havell exhibited three views of or from Park Place at the Watercolour Society in 1827 of which this is almost certainly one. Another `View on the Thames from Park Place, Henleyâ€™, is recorded as in the collection of the Earl Cawdor and was the cover illustration in the 1982 Havell exhibition catalogue. The third, â€œWoodcutters at Park Place, Henleyâ€™ was sold at Christieâ€™s on 5th July 2011, lot 166 for Â£30,000. Stylistically it is typical of his work of the late 1820s with particular use of bodycolour and scratching out.",1782,1857,William Havell,1782-1857,Landscapes & Seascapes,"rivers,boats,parks,trees,transport",The Islands Bolney Thames Park Place
TWW0000005644,Guy Peppiatt Fine Art,ENG,"The Battle of Waterloo, 18th June, 1815",,1816,1816,William Heath,1795-1840,Industries & Professions,"battles,military,mammals,horses,death,farms,weapons","The Battle Waterloo, 18th June,"
TWW0000005645,Guy Peppiatt Fine Art,ENG,Cottages near St. Albans,"Watercolour heightened with bodycolour, gum arabic and scratching out. This is an early work dating from between 1808 and 1820 when Hunt's early patron Dr Thomas Monro took a cottage at Bushey, Hertfordshire where Hunt was a frequent visitor. He produced a number of similar drawings of cottages and farm buildings during this period. A view of St. Albans Cathedral by Hunt is in the Victoria and Albert Museum and a view of a street in St. Albans is in the Yale Center for British Art, New Haven (see John Witt, William Henry Hunt, 1982, nos. 168 and 247).",1808,1820,William Henry Hunt,1790-1864,Buildings & Architecture,"buildings,domestic life,residential buildings",Cottages St. Albans
TWW0000005646,Guy Peppiatt Fine Art,ENG,Derwent River,,1833,1833,William Henry Pyne,1769-1843,Landscapes & Seascapes,"rivers,trees,hills,people,fishing",Derwent River
TWW0000005648,Guy Peppiatt Fine Art,ENG,Heidelberg,,1769,1843,William Henry Pyne,1769-1843,Landscapes & Seascapes,"castles,rivers,townscapes,trees",Heidelberg
TWW0000005649,Guy Peppiatt Fine Art,ENG,River Thames,,1833,1833,William Henry Pyne,1769-1843,Landscapes & Seascapes,"boats,rivers,bridges,religious buildings",River Thames
TWW0000005650,Guy Peppiatt Fine Art,ENG,"Black Lion Lane, Canterbury",,1769,1843,William Henry Pyne,1769-1843,Buildings & Architecture,"residential buildings,people,trees","Black Lion Lane, Canterbury"
TWW0000005651,Guy Peppiatt Fine Art,ENG,"On the River Lynn, Devon",,1844,1844,William James Müller,1812-1845,Landscapes & Seascapes,"landscapes,rivers,cliffs,trees","On River Lynn, Devon"
TWW0000005652,Guy Peppiatt Fine Art,ENG,"On the River Lynn, Devon",,1844,1844,William James Müller,1812-1845,Landscapes & Seascapes,"rivers,trees","On River Lynn, Devon"
TWW0000005653,Guy Peppiatt Fine Art,ENG,Dhows on the Nile,"Watercolour over pencil. This dates from M'ller's tour of Greece and Egypt in 1838-39. He left Bristol in September 1838 and spent six weeks in Athens before continuing to Alexandria in early November. M'ller was excited by the novelty of Egypt since '`a halo of mystery still lingered around this land of the ancient East'. M'ller was only twenty-six and, with his exceptionally fine eye for colour, light and shade, his imagination must have been fired by everything he saw (see Cyril Bunt, The Life and Work of William James M'ller of Bristol, 1948, p.37).
Â 
The crowded streets, exotic costumes and bazaars enthralled M'ller, especially in Cairo, and he subsequently sailed up the Nile as far as Luxor, Karnak and the Valley of the Kings. He returned to Bristol in the Spring of 1839. Two other Nile views by M'ller are in the British Museum (see Greenacre and Stoddard, W.J. M'ller 1812-1845, exhibition catalogue, 1991, nos. 100 and 101, ill.).",1838,1839,William James Müller,1812-1845,Landscapes & Seascapes,"rivers,boats,transport,fishing,beaches",Dhows Nile
TWW0000005654,Guy Peppiatt Fine Art,ENG,"The Room of Marie De Medici, Château de Blois","Watercolour heightened with touches of bodycolour and scratching out. In the Spring of 1840, MÃ¼ller was commissioned by Messrs Hodgson and Graves of Pall Mall to produce forty watercolours of French views which related to the Renaissance period of Francis I. Of these forty, twenty-six were to be lithographed for a book `Sketches of the Age of Francis Iâ€™. MÃ¼ller left from Southampton with his pupil Edward Dighton in early June and visited various sites in Normandy reaching Paris on the 17th. After a month there and at Fontainebleau, he visited Orleans, Blois and the Loire valley before returning to England from St. Malo in September. A watercolour of this view was published as plate XIII of `Sketches of the Age of Francis Iâ€™ in 1841, but with different figures.",1841,1841,William James Müller,1812-1845,Buildings & Architecture,"buildings,architecture,castles,interiors,domestic life,leisure,people,royalty","The Room Marie De Medici, Château Blois"
